date,time,value1
2016-03-25,01:50AM,105.40
2016-03-25,01:50AM,105.40
2016-03-25,01:52AM,105.42
2016-03-25,01:52AM,105.42
2016-03-25,02:50PM,105.67
2016-03-25,02:50PM,105.67
